Timestamp,Gender,Age,District,Marital_status,Education,Employment,Income,Account_type,Mobile_banking_app_count,Bank_type,Period,Services,Motivation,Large_transactions,Frequency,ATM_withdrawal,Security_rating,Additional_charges,Reason,Rating
2020/11/01 10:41:19 pm GMT+5:30,Female,16-25,Gampaha,Single,A/L,Student,NA,Savings,2,Private,6 months - 1 year,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts;Send mobile cash",Friends,No,More than 12 times,Between 5000 to 10000,4,Unfair,I don’t like waiting in the queue;Charges are unfair but I can pay,4
2020/11/01 11:07:02 pm GMT+5:30,Male,25-45,Kalutara,Single,Degree/Diploma,Private Sector- Executive,"50,000 - 100,000",Savings,4,Both Private and Public,1-2 years,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts;Send mobile cash",Self-motivated,Yes,3 - 6,Between 10000 to 50000,4,Fair,,3
2020/11/01 11:10:14 pm GMT+5:30,Male,25-45,Puttalam,Single,Degree/Diploma,Unemployed,NA,Savings,3,Both Private and Public,More than 2 years,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts;Send mobile cash",Self-motivated,No,More than 12 times,Between 5000 to 10000,2,Unfair,I don’t have time to go to the bank;I don’t like waiting in the queue;Charges are unfair but I can pay;COVID situation in country,3
2020/11/01 11:18:57 pm GMT+5:30,Female,16-25,Anuradhapura,Single,Degree/Diploma,Government /Public Service,"15,000 - 50,000",Savings,2,Both Private and Public,1-2 years,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts;Send mobile cash;View exchange rates",Friends,Yes,More than 12 times,Between 1000 to 5000,4,Fair,,4
2020/11/01 11:37:25 pm GMT+5:30,Male,25-45,Gampaha,Single,Masters/Phd,Private Sector- Executive,"Above 200,000",Savings;Fixed,2,Private,More than 2 years,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts",Self-motivated,Yes,More than 12 times,More than 50000,5,Fair,I don’t have time to go to the bank,5
2020/11/01 11:48:49 pm GMT+5:30,Male,16-25,Kandy,Single,Degree/Diploma,Student,NA,Savings,1,Private,Less than 6 months,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts;Send mobile cash",Friends,No,Less than 3 times,Between 1000 to 5000,4,Fair,I don’t have time to go to the bank,5
2020/11/02 7:28:58 am GMT+5:30,Male,25-45,Matara,Single,Degree/Diploma,Private Sector- Executive,"100,000 - 200,000",Savings;Fixed,2,Private,1-2 years,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts",Internet,No,3 - 6,Between 5000 to 10000,3,Fair,COVID situation in country,5
2020/11/02 9:01:41 am GMT+5:30,Male,25-45,Colombo,Single,Degree/Diploma,Unemployed,"15,000 - 50,000",Savings,4,Private,6 months - 1 year,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts;View exchange rates",Internet,No,9 -12,Less than 1000,4,Unfair,I don’t have time to go to the bank;I don’t like waiting in the queue,4
2020/11/02 9:02:00 am GMT+5:30,Male,16-25,Gampaha,Single,A/L,Student,NA,Savings,1,Private,6 months - 1 year,View exchange rates,Advertisement,No,Less than 3 times,Between 1000 to 5000,4,Fair,,4
2020/11/02 9:05:33 am GMT+5:30,Female,16-25,Ratnapura,Single,A/L,Student,"Less than 15,000",Savings,2,Public,1-2 years,Check account balance;Transfer money to other accounts,Self-motivated,Yes,3 - 6,Between 1000 to 5000,4,Fair,,4
2020/11/02 9:12:51 am GMT+5:30,Female,16-25,Colombo,Single,A/L,Student,NA,Savings,2,Both Private and Public,1-2 years,Check account balance,Self-motivated,No,Less than 3 times,Between 1000 to 5000,2,Fair,,1
2020/11/02 9:24:44 am GMT+5:30,Male,16-25,Galle,Single,A/L,Family Business / Self Employed,"50,000 - 100,000",Savings,1,Private,6 months - 1 year,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts",Self-motivated,Yes,More than 12 times,Between 10000 to 50000,5,Unfair,I don’t have time to go to the bank;I don’t like waiting in the queue;Charges are unfair but I can pay;COVID situation in country,2
2020/11/02 9:29:33 am GMT+5:30,Male,25-45,Gampaha,Single,Degree/Diploma,Private Sector- Executive,"50,000 - 100,000",Savings,1,Private,1-2 years,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts;Send mobile cash;View exchange rates",Friends,Yes,3 - 6,More than 50000,3,Unfair,Charges can be recovered by themselves since the manual operations in a brach would be less. ,3
2020/11/02 10:32:53 am GMT+5:30,Male,25-45,Kalutara,Single,Degree/Diploma,Private Sector- Executive,"100,000 - 200,000",Savings;Fixed;Current,1,Private,Less than 6 months,Check account balance;Transfer money to other accounts,Friends,No,Less than 3 times,Between 5000 to 10000,3,Fair,,3
2020/11/02 10:43:27 am GMT+5:30,Male,25-45,Kalutara,Single,Degree/Diploma,Private Sector- Executive,"50,000 - 100,000",Savings,4,Both Private and Public,1-2 years,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts;Send mobile cash",Self-motivated,Yes,3 - 6,Between 10000 to 50000,4,Fair,,3
2020/11/02 11:44:02 am GMT+5:30,Female,16-25,Gampaha,Single,Degree/Diploma,Student,NA,Savings;Fixed,1,Public,Less than 6 months,Check account balance;Transfer money to other accounts,Self-motivated,No,Less than 3 times,Less than 1000,5,Unfair,I don’t have time to go to the bank;COVID situation in country,4
2020/11/02 1:04:27 pm GMT+5:30,Male,25-45,Kurunegala,Single,Degree/Diploma,Private Sector- Executive,"100,000 - 200,000",Savings,2,Private,6 months - 1 year,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts;Send mobile cash",Self-motivated,Yes,6 -9,Between 10000 to 50000,4,Fair,,4
2020/11/02 2:34:38 pm GMT+5:30,Female,25-45,Ratnapura,Married,Degree/Diploma,Private Sector- Executive,"50,000 - 100,000",Savings,1,Private,6 months - 1 year,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts;Send mobile cash",Self-motivated,Yes,3 - 6,Between 1000 to 5000,5,Unfair,Charges are unfair but I can pay,5
2020/11/04 9:34:24 pm GMT+5:30,Male,25-45,Gampaha,Single,Degree/Diploma,Private Sector- Executive,"15,000 - 50,000",Savings,2,Both Private and Public,6 months - 1 year,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts;Send mobile cash;View exchange rates",Internet,No,Less than 3 times,Between 1000 to 5000,4,Fair,,3
2020/11/08 9:33:16 am GMT+5:30,Female,25-45,Jaffna,Single,Degree/Diploma,Private Sector - Employee,"100,000 - 200,000",Savings,4,Both Private and Public,More than 2 years,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts",Advertisement,No,3 - 6,Between 10000 to 50000,3,Unfair,I don’t have time to go to the bank;COVID situation in country,3
2020/11/09 12:21:38 pm GMT+5:30,Male,25-45,Colombo,Married,Degree/Diploma,Private Sector- Executive,"15,000 - 50,000",Savings,1,Private,More than 2 years,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts",Working Abroad,Yes,3 - 6,Between 5000 to 10000,5,Fair,,5
2020/11/09 5:44:24 pm GMT+5:30,Female,16-25,Gampaha,Single,Degree/Diploma,Government /Public Service,"50,000 - 100,000",Savings,1,Private,Less than 6 months,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts",Friends,No,3 - 6,Between 5000 to 10000,3,Unfair,COVID situation in country,4
